pca_components,alpha,umap_n_components,umap_n_neighbors,min_cluster_size,min_samples,cluster_selection_method,n_clusters,n_outliers,outlier_pct,silhouette_global,min_cluster_silhouette,n_bad_clusters,n_weak_clusters,largest_cluster_pct,davies_bouldin,score,meets_all
70,0.6,30,15,50,40,eom,7,952,27.00709219858156,0.25336313247680664,0.0047046784,0,1,34.60992907801418,0.8264930320425252,-1140.1418439716313,False
60,0.5,20,10,60,20,eom,13,954,27.063829787234045,0.4125577211380005,0.24590442,0,0,14.099290780141843,0.7354967179470671,-1141.276595744681,False
60,0.5,25,10,50,40,eom,6,955,27.092198581560282,0.2562892436981201,0.0030185399,0,1,32.08510638297872,0.8667964403267149,-1141.8439716312057,False
50,0.3,25,15,50,20,eom,12,956,27.120567375886523,0.28570330142974854,0.06580946,0,3,18.354609929078013,0.8188281251763171,-1142.4113475177305,False
60,0.3,20,10,50,30,eom,10,960,27.23404255319149,0.3210070729255676,0.111871384,0,2,18.26950354609929,0.8018544996931041,-1144.6808510638298,False
60,0.6,25,10,50,40,eom,6,960,27.23404255319149,0.4101559519767761,0.22577445,0,0,39.31914893617021,0.6169154036707284,-1144.6808510638298,False
50,0.4,25,10,50,30,eom,9,968,27.46099290780142,0.3271454870700836,0.12010872,0,1,16.53900709219858,0.8537002970941964,-1149.2198581560283,False
60,0.4,20,15,50,20,eom,14,968,27.46099290780142,0.3166062831878662,0.088733576,0,3,18.326241134751772,0.725636053020993,-1149.2198581560283,False
60,0.7,25,15,60,20,eom,11,969,27.489361702127656,0.3541572690010071,0.21408714,0,0,22.01418439716312,0.898060383058834,-1149.787234042553,False
50,0.6,20,10,50,40,eom,7,970,27.5177304964539,0.40871697664260864,0.19297001,0,1,37.843971631205676,0.6662199545832272,-1150.354609929078,False
60,0.7,25,15,50,30,eom,11,971,27.54609929078014,0.3676835298538208,0.0077870437,0,1,21.30496453900709,0.8631321527268941,-1150.9219858156027,False
50,0.7,20,20,60,20,eom,12,971,27.54609929078014,0.3732708990573883,0.09096752,0,2,12.595744680851064,0.8679613421108711,-1150.9219858156027,False
60,0.3,30,10,60,30,eom,10,973,27.602836879432623,0.31895312666893005,0.07415698,0,2,17.078014184397166,0.7917539404475593,-1152.0567375886524,False
70,0.6,25,20,60,30,eom,6,973,27.602836879432623,0.40039515495300293,0.2317897,0,0,33.1063829787234,0.7412908807646991,-1152.0567375886524,False
